CPU: ID 0x406e3, Processor Type 0x0, Family 0x6, Model 0x4e, Stepping 0x3
Northbridge: 8086:1904 (6th generation (Skylake family) Core Processor (Mobile))
Southbridge: 8086:9d48 (Sunrise Point-LP U Premium/Skylake)
IGD: 8086:1916 (Intel(R) HD Graphics 520)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)

Hiding Primary to Sideband Bridge (P2SB).

============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0xaf0000

0x0570: 0x0000007644000300 GPP_D22      GPIO                
0x0578: 0x0000007744000300 GPP_D23      GPIO                
------- GPIO Group GPP_E -------
0x0580: 0x0000001844000b02 GPP_E0       SATAGP0             
0x0588: 0x0000001944000102 GPP_E1       GPIO                
0x0590: 0x0000001a44000b02 GPP_E2       SATAGP2             
0x0598: 0x0000001b44000300 GPP_E3       GPIO                
0x05a0: 0x0000001c44000300 GPP_E4       GPIO                
0x05a8: 0x0000001d44000300 GPP_E5       GPIO                
0x05b0: 0x0000001e44000300 GPP_E6       GPIO                
0x05b8: 0x0000001f80100100 GPP_E7       GPIO                
0x05c0: 0x0000002044000100 GPP_E8       GPIO                
0x05c8: 0x0000002144000702 GPP_E9       USB2_OC0#           
0x05d0: 0x0000002244000702 GPP_E10      USB2_OC1#           
0x05d8: 0x0000002344000702 GPP_E11      USB2_OC2#           
0x05e0: 0x0000002444000702 GPP_E12      USB2_OC3#           
0x05e8: 0x0000002544000700 GPP_E13      DDPB_HPD0           
0x05f0: 0x0000002644000300 GPP_E14      GPIO                
0x05f8: 0x0000002780880102 GPP_E15      GPIO                
0x0600: 0x0000002844000300 GPP_E16      GPIO                
0x0608: 0x0000002944000702 GPP_E17      EDP_HPD             
0x0610: 0x0000002a44000702 GPP_E18      DDPB_CTRLCLK        
0x0618: 0x0000002b44000702 GPP_E19      DDPB_CTRLDATA       
0x0620: 0x0000002c44000700 GPP_E20      DDPC_CTRLCLK        
0x0628: 0x0000002d44000700 GPP_E21      DDPC_CTRLDATA       
0x0630: 0x0000002e44000300 GPP_E22      GPIO                
0x0638: 0x0000002f44000300 GPP_E23      GPIO                
------- GPIO Community 2 -------

PCR Port ID: 0xad0000

-------- GPIO Group GPD --------
0x0400: 0x0000005044000702 GPD0         BATLOW#             
0x0408: 0x0000005144000702 GPD1         ACPRESENT           
0x0410: 0x0000005244000702 GPD2         LAN_WAKE#           
0x0418: 0x0000005344000702 GPD3         PWRBTN#             
0x0420: 0x0000005444000700 GPD4         SLP_S3#             
0x0428: 0x0000005544000700 GPD5         SLP_S4#             
0x0430: 0x0000005644000700 GPD6         SLP_A#              
0x0438: 0x0000005744000301 GPD7         GPIO                
0x0440: 0x0000005844000700 GPD8         SUSCLK              
0x0448: 0x0000005944000300 GPD9         GPIO                
0x0450: 0x0000005a44000700 GPD10        SLP_S5#             
0x0458: 0x0000005b44000300 GPD11        GPIO                
------- GPIO Community 3 -------

PCR Port ID: 0xac0000

------- GPIO Group GPP_F -------
0x0400: 0x0000003044000300 GPP_F0       GPIO                
0x0408: 0x0000003144000300 GPP_F1       GPIO                
0x0410: 0x0000003244000300 GPP_F2       GPIO                
0x0418: 0x0000003344000300 GPP_F3       GPIO                
0x0420: 0x0000003444000300 GPP_F4       GPIO                
0x0428: 0x0000003544000300 GPP_F5       GPIO                
0x0430: 0x0000003644000300 GPP_F6       GPIO                
0x0438: 0x0000003744000300 GPP_F7       GPIO                
0x0440: 0x0000003844000700 GPP_F8       I2C4_SDA            
0x0448: 0x0000003944000700 GPP_F9       I2C4_SCL            
0x0450: 0x0000003a44000300 GPP_F10      GPIO                
0x0458: 0x0000003b44000300 GPP_F11      GPIO                
0x0460: 0x0000003c44000300 GPP_F12      GPIO                
0x0468: 0x0000003d44000300 GPP_F13      GPIO                
0x0470: 0x0000003e44000300 GPP_F14      GPIO                
0x0478: 0x0000003f44000300 GPP_F15      GPIO                
0x0480: 0x0000004044000300 GPP_F16      GPIO                
0x0488: 0x0000004144000300 GPP_F17      GPIO                
0x0490: 0x0000004244000300 GPP_F18      GPIO                
